iter	Passed	Remaining
872	7107	1034
873	7116	1025
874	7125	1017
875	7133	1009
876	7140	1001
877	7148	993
878	7156	985
879	7164	976
880	7173	968
881	7180	960
882	7188	952
883	7196	944
884	7204	936
885	7212	928
886	7223	920
887	7233	912
888	7244	904
889	7253	896
890	7262	888
891	7271	880
892	7279	872
893	7288	864
894	7297	856
895	7305	848
896	7314	839
897	7323	831
898	7331	823
899	7340	815
900	7348	807
901	7356	799
902	7365	791
903	7374	783
904	7383	775
905	7392	766
906	7401	758
907	7409	750
908	7417	742
909	7427	734
910	7436	726
911	7444	718
912	7453	710
913	7461	702
914	7470	693
915	7478	685
916	7487	677
917	7495	669
918	7504	661
919	7513	653
920	7522	645
921	7530	637
922	7538	628
923	7547	620
924	7556	612
925	7565	604
926	7573	596
927	7583	588
928	7591	580
929	7599	572
930	7607	563
931	7616	555
932	7625	547
933	7633	539
934	7641	531
935	7651	523
936	7659	515
937	7668	506
938	7676	498
939	7685	490
940	7694	482
941	7702	474
942	7710	466
943	7719	457
944	7728	449
945	7736	441
946	7744	433
947	7753	425
948	7763	417
949	7770	408
950	7779	400
951	7787	392
952	7796	384
953	7804	376
954	7813	368
955	7821	359
956	7830	351
957	7838	343
958	7845	335
959	7853	327
960	7861	319
961	7870	310
962	7877	302
963	7885	294
964	7892	286
965	7900	278
966	7908	269
967	7915	261
968	7924	253
969	7932	245
970	7939	237
971	7948	228
972	7956	220
973	7964	212
974	7973	204
975	7981	196
976	7990	188
977	7998	179
978	8008	171
979	8016	163
980	8024	155
981	8032	147
982	8041	139
983	8049	130
984	8058	122
985	8070	114
986	8080	106
987	8090	98
988	8099	90
989	8109	81
990	8119	73
991	8129	65
992	8139	57
993	8148	49
994	8158	40
995	8168	32
996	8178	24
997	8189	16
998	8200	8
999	8211	0
